cuisine,atmosphere,occasion,price,style
Mexican,For the Young and Young at Heart,Weekend Dining,$30-$50,none
French,Fabulous Wine Lists,Open on Sundays,$30-$50,none
American,Business Scene,Dining Outdoors,$15-$30,Californian
American,Health Conscious Menus,Fine for Dining Alone,$30-$50,Cab
American,People Keep Coming Back,Takeout Available,below $15,Hamburgers
French,Need To Dress,Private Parties,$30-$50,High Tea
American,Good Service,Private Parties,$15-$30,Californian
American,Extraordinary Decor,Dining After the Theater,$15-$30,Cab
Italian,Wheelchair Access,Open for Breakfast,$15-$30,none
American,Relaxed Senior Scene,Special Brunch Menu,$30-$50,Power Brokers
American,Good for Younger Kids,Fine for Dining Alone,below $15,Soulfood
French,Quirky,Private Rooms Available,$15-$30,Brasserie
American,Extraordinary Decor,Takeout Available,$30-$50,Steakhouses
Indian,Extraordinary Food,Entertainment,$30-$50,Power Brokers
Indian,No Reservations,Weekend Dining,$15-$30,none
French,Parking/Valet,Dancing,$30-$50,Cab
American,Hip Place To Be,Takeout Available,below $15,none
American,Warm spots by the fire,none,$15-$30,none
American,Pub Feel,Dining After the Theater,$15-$30,Hamburgers
American,Parking/Valet,Takeout Available,below $15,Health Food
American,Excellent Food,Weekend Dining,below $15,Southwestern
French,Excellent Food,Takeout Available,$15-$30,Cab
French,Wheelchair Access,Private Rooms Available,$15-$30,Power Brokers
American,Extraordinary Service,Special Brunch Menu,$30-$50,Grills
Italian,Romantic,Dancing,$30-$50,Cab
Italian,An Out Of The Way Find,Private Rooms Available,over $50,none
French,Good Service,Private Parties,$15-$30,Steakhouses
American,Relaxed Senior Scene,Dining Outdoors,over $50,High Tea
Mexican,Excellent Service,Late Night Menu,$15-$30,Traditional
French,Parking/Valet,Happy Hour,$30-$50,Power Brokers
American,Pub Feel,Delivery Available,$30-$50,Grills
Italian,People Keep Coming Back,After Hours Dining,below $15,Pizza
American,Wheelchair Access,Early Dining,$15-$30,Continental
American,People Keep Coming Back,Takeout Available,below $15,Soulfood
French,Wheelchair Access,Private Parties,over $50,Power Brokers
American,Business Scene,Weekend Dining,$30-$50,Cab
Italian,Good Decor,Private Parties,$30-$50,Traditional
American,Extraordinary Service,Dining Outdoors,over $50,High Tea
French,Excellent Food,Catering for Special Events,$15-$30,none
American,Relaxed Senior Scene,Weekend Dining,$15-$30,Southern Comfort
French,Extraordinary Food,Weekend Lunch,$30-$50,Continental
American,Up and Coming,Private Rooms Available,$15-$30,Californian
Mexican,Up and Coming,Private Rooms Available,$15-$30,Southwestern
American,No Reservations,Delivery Available,below $15,Southwestern
American,Singles Scene,After Hours Dining,$15-$30,Hamburgers
French,Extraordinary Food,Private Rooms Available,over $50,Continental
American,Excellent Decor,Dining Outdoors,$15-$30,Grills
French,An Historic Spot,Private Rooms Available,$30-$50,Continental
Mexican,Near-perfect Food,Private Parties,$30-$50,Cab
American,Parking/Valet,none,$15-$30,Cab
French,Health Conscious Menus,Prix Fixe Menus,over $50,none
American,Extraordinary Service,Weekend Dining,over $50,Cab
Italian,Great for People Watching,Weekend Dining,$15-$30,Coffee Houses
American,Singles Scene,Dancing,below $15,Diners
Italian,Excellent Service,Parties and Occasions,$30-$50,Power Brokers
American,Excellent Decor,Dining Outdoors,below $15,High Tea
American,Good Service,See the Game,$15-$30,Traditional
French,Extraordinary Decor,Walk,$30-$50,none
American,For the Young and Young at Heart,Special Brunch Menu,below $15,Diners
French,Old World Cafe Charm,Pre-theater Dining,$15-$30,Coffee Shops
Italian,Extraordinary Food,Weekend Lunch,$30-$50,Traditional
American,Quirky,Open for Breakfast,below $15,Coffee Shops
American,Hip Place To Be,Private Parties,$15-$30,Hamburgers
American,Good Decor,Late Night Menu,$15-$30,Steakhouses
American,For the Young and Young at Heart,Weekend Dining,$15-$30,Cab
Italian,Good Service,Delivery Available,$15-$30,Californian
American,Parking/Valet,Weekend Dining,below $15,Coffee Shops
American,People Keep Coming Back,Private Rooms Available,$30-$50,none
American,Parking/Valet,Catering for Special Events,$15-$30,Southern Comfort
French,Excellent Food,Private Parties,$15-$30,Continental
American,Excellent Service,After Hours Dining,$15-$30,Hamburgers
American,Business Scene,Special Brunch Menu,$15-$30,Power Brokers
American,Very Busy - Reservations a Must,Prix Fixe Menus,$30-$50,Power Brokers
French,No Reservations,Catering for Special Events,$15-$30,High Tea
American,Classic Hotel Dining,Entertainment,$30-$50,Traditional
French,Relaxed Senior Scene,Private Parties,over $50,Continental
American,Great for People Watching,Open for Breakfast,below $15,none
American,Good for Younger Kids,Weekend Jazz Brunch,below $15,Coffee Shops
American,People Keep Coming Back,Takeout Available,$15-$30,Eclectic
French,Quiet for Conversation,Picnics,$30-$50,Brasserie
Italian,Little Known But Well Liked,Private Parties,$15-$30,none
American,Warm spots by the fire,Special Brunch Menu,$30-$50,High Tea
Italian,Fair Decor,Private Parties,below $15,Pizza
American,Focus on Dessert,Dining Outdoors,$15-$30,Eclectic
Italian,Good Decor,Private Rooms Available,$15-$30,Steakhouses
Italian,Good Out of Town Business,Dining Outdoors,$15-$30,Power Brokers
American,Excellent Food,Weekend Dining,$15-$30,Southern
American,Extraordinary Food,Private Rooms Available,over $50,High Tea
American,Wheelchair Access,Dining Outdoors,$30-$50,Steakhouses
American,Wheelchair Access,Dancing,$30-$50,none
American,Great for People Watching,Takeout Available,$30-$50,none
Italian,For the Young and Young at Heart,Weekend Lunch,$15-$30,Continental
American,Wheelchair Access,Dancing,$15-$30,Grills
American,Quirky,Dining Outdoors,below $15,Eclectic
Mexican,For the Young and Young at Heart,Delivery Available,$30-$50,none
Italian,Excellent Food,Catering for Special Events,$15-$30,none
French,Romantic,Early Dining,$30-$50,Power Brokers
American,Fair Decor,Late Night Menu,below $15,none
American,Wheelchair Access,Dining Outdoors,below $15,Coffee Shops
American,Quirky,Weekend Lunch,$15-$30,Southwestern
French,Parking/Valet,Pre-theater Dining,$30-$50,Continental
Italian,Business Scene,Dancing,$15-$30,Pizza
Italian,Excellent Decor,Weekend Brunch,$15-$30,Traditional
American,Good Decor,Menus in Braille,$15-$30,Diners
French,Excellent Service,Weekend Brunch,$15-$30,Cab
American,Parking/Valet,Dining Outdoors,$30-$50,Continental
French,Excellent Service,Catering for Special Events,$30-$50,none
American,Focus on Dessert,Weekend Lunch,below $15,High Tea
American,Wheelchair Access,Open on Mondays,$15-$30,Coffee Shops
American,An Historic Spot,Open for Breakfast,below $15,Coffee Shops
American,For the Young and Young at Heart,Private Parties,below $15,Coffee Shops
American,An Historic Spot,Private Rooms Available,below $15,none
American,Parking/Valet,Fine for Dining Alone,below $15,Coffee Shops
Mexican,Extraordinary Food,Weekend Brunch,below $15,none
Italian,Parking/Valet,Private Rooms Available,below $15,none
Italian,Near-perfect Decor,Private Parties,$30-$50,none
American,Wheelchair Access,Catering for Special Events,$15-$30,Deli
French,Good Food,Open on Sundays,$15-$30,none
Italian,Wheelchair Access,Weekend Lunch,$15-$30,Southwestern
American,Business Scene,Delivery Available,$30-$50,Continental
American,Near-perfect Food,Weekend Dining,$30-$50,Continental
American,Wheelchair Access,Dancing,below $15,none
American,Wheelchair Access,Weekend Dining,$15-$30,Coffee Shops
Italian,No Reservations,Weekend Brunch,below $15,Carry in Wine and Beer
American,Good Out of Town Business,Weekend Lunch,$30-$50,Steakhouses
American,Parking/Valet,Weekend Lunch,below $15,Deli
Italian,Quiet for Conversation,After Hours Dining,$15-$30,Eclectic
American,Pub Feel,Pre-theater Dining,$15-$30,Continental
American,Good Service,Dining Outdoors,$15-$30,Traditional
American,Parking/Valet,Special Brunch Menu,below $15,Hamburgers
Indian,Little Known But Well Liked,Private Rooms Available,$15-$30,none
American,Classic Hotel Dining,Short Drive,$30-$50,none
American,Tourist Appeal,Weekend Brunch,below $15,Diners
Italian,Up and Coming,Entertainment,$15-$30,none
Italian,Excellent Food,Private Rooms Available,$15-$30,Pizzerias
French,No Reservations,Private Rooms Available,$15-$30,Bakeries
American,Good for Younger Kids,Weekend Dining,$15-$30,Steakhouses
American,Good Food,Dining After the Theater,$15-$30,Cab
American,Near-perfect Food,Open on Sundays,$30-$50,none
American,Excellent Food,Special Brunch Menu,$15-$30,Power Brokers
French,Good Decor,Delivery Available,$15-$30,Bakeries
American,Excellent Food,Catering for Special Events,$15-$30,Californian
French,Hip Place To Be,Parties and Occasions,$30-$50,Californian
American,Hip Place To Be,Pre-theater Dining,$30-$50,Southern
French,Excellent Decor,Late Night Menu,$30-$50,Power Brokers
Italian,Great for People Watching,Delivery Available,$15-$30,Hamburgers
American,Poor Decor,Takeout Available,below $15,none
American,Extraordinary Decor,Weekend Brunch,$30-$50,Cab
French,Extraordinary Decor,Pre-theater Dining,$15-$30,none
French,Near-perfect Decor,Entertainment,$30-$50,none
Italian,Parking/Valet,Private Parties,over $50,none
French,Place for Singles,Open for Breakfast,$15-$30,none
Italian,Good for Younger Kids,Weekend Dining,$15-$30,Diners
American,Hip Place To Be,Open for Breakfast,below $15,Southern
American,Extraordinary Service,Private Parties,$30-$50,Hamburgers
American,Good Decor,Open for Breakfast,$15-$30,High Tea
Italian,Good Service,Weekend Brunch,below $15,Cab
French,Classic Hotel Dining,Special Brunch Menu,$30-$50,High Tea
American,Good Food,Weekend Lunch,$15-$30,Eclectic
American,Classic Hotel Dining,Open for Breakfast,$30-$50,none
American,Warm spots by the fire,Entertainment,over $50,High Tea
American,Good Service,Fine for Dining Alone,$15-$30,none
American,Excellent Decor,Delivery Available,$15-$30,Eclectic
American,Creative,Weekend Lunch,$30-$50,none
American,Near-perfect Food,Pre-theater Dining,$30-$50,Continental
Italian,Excellent Decor,Open for Breakfast,$15-$30,Hamburgers
American,Excellent Service,Weekend Brunch,below $15,none
American,Wheelchair Access,Private Parties,below $15,Diners
American,Wheelchair Access,Entertainment,$15-$30,Hamburgers
American,Place for Singles,Entertainment,$15-$30,Grills
American,Romantic,Pre-theater Dining,over $50,none
American,For the Young and Young at Heart,none,$15-$30,Diners
American,Old World Cafe Charm,Delivery Available,$15-$30,none
Italian,Good Decor,Private Rooms Available,below $15,none
Italian,Wheelchair Access,Weekend Brunch,below $15,Cab
American,Place for Singles,Private Parties,below $15,none
American,Extraordinary Service,Weekend Dining,$30-$50,Steakhouses
American,Fabulous Wine Lists,Dancing,$30-$50,none
American,Place for Singles,Entertainment,$30-$50,Steakhouses
American,Great for People Watching,Short Drive,$30-$50,none
French,Good Out of Town Business,Special Brunch Menu,over $50,Caviar
Italian,Good Service,Private Rooms Available,$15-$30,none
French,Parking/Valet,Catering for Special Events,$15-$30,Bakeries
American,Extraordinary Food,Long Drive,$15-$30,none
Italian,Extraordinary Food,none,$30-$50,none
French,Excellent Decor,Private Rooms Available,over $50,none
American,Creative,After Hours Dining,$30-$50,Cab
American,Excellent Service,Dancing,$15-$30,High Tea
Italian,Up and Coming,Private Parties,$30-$50,none
Mexican,Good Decor,Happy Hour,$15-$30,none
American,Excellent Decor,Weekend Dining,$15-$30,Southern
American,Wheelchair Access,Takeout Available,$30-$50,none
Mexican,Fair Food,none,$15-$30,Southwestern
Italian,Very Busy - Reservations a Must,Weekend Dining,$30-$50,Power Brokers
Indian,Quirky,Takeout Available,$15-$30,none
Italian,Excellent Decor,Weekend Lunch,$15-$30,Power Brokers
American,Very Busy - Reservations a Must,Private Parties,$30-$50,Power Brokers
Italian,No Smoking Allowed,Private Rooms Available,$30-$50,none
American,Extraordinary Service,Happy Hour,$30-$50,Traditional
French,Excellent Service,Private Parties,$15-$30,none
American,Good for Younger Kids,Weekend Lunch,below $15,Diners
French,Extraordinary Service,Walk,$15-$30,none
Italian,Classic Hotel Dining,Private Rooms Available,$15-$30,Cab
American,Good Food,Catering for Special Events,below $15,Coffee Shops
American,Excellent Service,Weekend Jazz Brunch,below $15,Diners
French,Need To Dress,Weekend Brunch,$15-$30,none
American,Quirky,Takeout Available,below $15,Po' Boys
Italian,Good for Younger Kids,Weekend Dining,$15-$30,none
American,Good Decor,Dancing,$30-$50,none
Italian,Warm spots by the fire,Dining Outdoors,$15-$30,Pizza
Italian,Very Busy - Reservations a Must,Private Parties,$30-$50,none
American,Wheelchair Access,Open for Breakfast,$15-$30,Power Brokers
American,Good Service,Late Night Menu,$15-$30,none
Italian,Good Decor,none,$15-$30,none
American,Extraordinary Decor,Weekend Dining,over $50,Power Brokers
American,Extraordinary Food,Dining Outdoors,$30-$50,Steakhouses
American,Classic Hotel Dining,Weekend Dining,$30-$50,Cab
American,Singles Scene,See the Game,$15-$30,Eclectic
American,Wheelchair Access,Private Parties,$15-$30,Steakhouses
American,Good Out of Town Business,Weekend Brunch,$30-$50,Power Brokers
American,Fabulous Views,Prix Fixe Menus,$30-$50,Power Brokers
American,Warm spots by the fire,Entertainment,$15-$30,Traditional
Italian,Hip Place To Be,Late Night Menu,$30-$50,Power Brokers
Italian,Excellent Food,Weekend Brunch,$15-$30,none
American,Excellent Food,Parties and Occasions,$15-$30,none
Italian,Singles Scene,Weekend Brunch,$15-$30,Californian
American,Extraordinary Decor,none,$30-$50,none
Mexican,Great for People Watching,Private Parties,$15-$30,Traditional
Mexican,Fair Decor,Late Night Menu,below $15,none
American,Good Service,Dancing,$15-$30,Traditional
Indian,Extraordinary Food,Catering for Special Events,$15-$30,none
American,Health Conscious Menus,Takeout Available,below $15,Cafeterias
Italian,Poor Decor,Delivery Available,below $15,Pizza
American,Extraordinary Service,Weekend Dining,$15-$30,High Tea
American,Warm spots by the fire,Private Parties,$30-$50,none
American,Good Service,Private Parties,$15-$30,none
French,Excellent Decor,Prix Fixe Menus,$30-$50,Traditional
American,Authentic,Dining Outdoors,below $15,none
American,Extraordinary Decor,none,$15-$30,Continental
American,Great for People Watching,Late Night Menu,$15-$30,Cab
American,Extraordinary Food,Weekend Brunch,$30-$50,High Tea
Italian,Pub Feel,Weekend Dining,$15-$30,Hamburgers
American,Cafe/Garden Dining,Weekend Dining,$15-$30,none
Italian,Extraordinary Service,none,over $50,Power Brokers
American,Excellent Service,Weekend Dining,over $50,Steakhouses
Mexican,Singles Scene,Private Rooms Available,below $15,Southwestern
Italian,Wheelchair Access,Private Parties,$30-$50,Continental
American,Extraordinary Service,Special Brunch Menu,$30-$50,Power Brokers
American,Hip Place To Be,Weekend Dining,$15-$30,Hamburgers
Italian,Extraordinary Food,Delivery Available,$15-$30,Traditional
American,Parking/Valet,Pre-theater Dining,$30-$50,none
American,Great for People Watching,Fine for Dining Alone,below $15,High Tea
American,Parking/Valet,Dining Outdoors,$15-$30,Southern
Italian,Excellent Service,Picnics,$15-$30,none
Mexican,Excellent Decor,Private Parties,$15-$30,Cab
American,Extraordinary Decor,Special Brunch Menu,$30-$50,none
American,Excellent Decor,Dining Outdoors,below $15,Southern Comfort
American,Wheelchair Access,Open on Mondays,$30-$50,none
American,Excellent Food,Late Night Menu,$15-$30,Hamburgers
American,Wheelchair Access,Delivery Available,$15-$30,Continental
American,Cafe/Garden Dining,Weekend Dining,below $15,Coffee Shops
French,Classic Hotel Dining,Delivery Available,$30-$50,Traditional
American,Classic Hotel Dining,Private Parties,$30-$50,Eclectic
American,Good for Younger Kids,Prix Fixe Menus,$15-$30,none
Italian,Parking/Valet,Walk,$30-$50,Cab
Italian,Creative,Prix Fixe Menus,$30-$50,Power Brokers
French,Extraordinary Decor,Prix Fixe Menus,$30-$50,Cab
French,Classic Hotel Dining,Open on Sundays,$30-$50,none
Italian,Good Out of Town Business,Delivery Available,$30-$50,Power Brokers
Indian,Quiet for Conversation,Private Rooms Available,$15-$30,none
Italian,Fair Decor,Delivery Available,below $15,none
Indian,Up and Coming,none,$15-$30,none
American,Excellent Decor,Weekend Dining,$15-$30,Pancakes
Italian,Excellent Service,Pre-theater Dining,$30-$50,none
American,Excellent Food,Open on Sundays,below $15,Traditional
American,Warm spots by the fire,Prix Fixe Menus,over $50,High Tea
American,Extraordinary Food,Dining Outdoors,$30-$50,High Tea
American,Great for People Watching,Dining Outdoors,below $15,none
American,Health Conscious Menus,Private Rooms Available,$15-$30,Power Brokers
American,Place for Singles,Takeout Available,$15-$30,Southwestern
American,Fabulous Views,Private Rooms Available,$30-$50,Cab
French,An Out Of The Way Find,Private Parties,over $50,none
American,Extraordinary Service,Long Drive,$30-$50,none
French,Business Scene,Dining Outdoors,$15-$30,Cab
Mexican,Health Conscious Menus,Weekend Dining,below $15,Tacos
Mexican,Good Food,Short Drive,$15-$30,none
American,Relaxed Senior Scene,Pre-theater Dining,$15-$30,Hamburgers
American,An Historic Spot,Private Parties,$30-$50,Steakhouses
Italian,Excellent Service,Weekend Dining,$15-$30,none
Italian,Extraordinary Food,Weekend Brunch,$15-$30,Carry in Wine and Beer
American,Business Scene,Weekend Dining,$30-$50,Steakhouses
Italian,Excellent Service,Private Parties,$15-$30,Cab
French,Creative,Weekend Dining,$15-$30,none
American,Fabulous Wine Lists,Fine for Dining Alone,$15-$30,Power Brokers
American,Place for Singles,Takeout Available,$30-$50,Hamburgers
American,Near-perfect Food,Weekend Dining,$30-$50,Power Brokers
Italian,Very Busy - Reservations a Must,Long Drive,over $50,none
French,Romantic,Dining Outdoors,$15-$30,Carry in Wine and Beer
American,Fair Decor,After Hours Dining,$15-$30,none
American,Romantic,Weekend Dining,$30-$50,Eclectic
American,Good Out of Town Business,Takeout Available,$30-$50,Power Brokers
French,Great for People Watching,Weekend Brunch,$30-$50,Power Brokers
Italian,Extraordinary Food,none,over $50,none
French,Excellent Decor,Private Rooms Available,$30-$50,none
American,Wheelchair Access,Dancing,$15-$30,Power Brokers
American,Good Food,Special Brunch Menu,$15-$30,Southern
Italian,Authentic,Weekend Dining,$15-$30,none
French,Quiet for Conversation,Special Brunch Menu,$30-$50,none
Mexican,Good Service,After Hours Dining,$15-$30,Southwestern
American,Excellent Service,Delivery Available,below $15,Cafeterias
French,Extraordinary Service,Weekend Dining,$15-$30,none
Italian,Need To Dress,Private Parties,$30-$50,none
American,Good Out of Town Business,Private Rooms Available,$30-$50,Californian
American,Up and Coming,Delivery Available,$15-$30,Southwestern
American,Excellent Service,Menus in Braille,$30-$50,Continental
American,Hip Place To Be,Weekend Dining,$30-$50,Californian
Italian,Place for Singles,Open for Breakfast,$15-$30,Hamburgers
French,Great for People Watching,Private Rooms Available,$15-$30,Cab
French,No Smoking Allowed,Pre-theater Dining,$30-$50,none
Italian,Wheelchair Access,Dining Outdoors,$30-$50,Cab
French,An Historic Spot,Dancing,$30-$50,Continental
American,For the Young and Young at Heart,Delivery Available,below $15,Traditional
American,Classic Hotel Dining,Dining Outdoors,$15-$30,Pastries
French,Good Food,none,$30-$50,none
American,Singles Scene,Weekend Lunch,$30-$50,none
Italian,Good Decor,none,$15-$30,Pizza
American,Hip Place To Be,Parties and Occasions,$30-$50,Power Brokers
Italian,Great for People Watching,Weekend Dining,below $15,Coffee Shops
American,Pub Feel,Dining Outdoors,$15-$30,Grills
American,Fair Decor,Special Brunch Menu,below $15,Coffee Shops
Mexican,Excellent Service,Weekend Brunch,$15-$30,Traditional
French,Little Known But Well Liked,Private Parties,$30-$50,Continental
American,Excellent Food,Entertainment,$30-$50,High Tea
Italian,Excellent Food,Weekend Lunch,$15-$30,Kosher
American,Business Scene,Catering for Special Events,$15-$30,Deli
French,Wheelchair Access,Weekend Lunch,$15-$30,Bakeries
French,Excellent Service,none,$30-$50,Eclectic
Italian,Business Scene,Catering for Special Events,$30-$50,Traditional
American,Extraordinary Service,Takeout Available,$30-$50,Hamburgers
Italian,Great for People Watching,Weekend Dining,$15-$30,none
American,Good Decor,After Hours Dining,$15-$30,Omelettes
Italian,Authentic,Private Rooms Available,$15-$30,Traditional
American,Extraordinary Food,Pre-theater Dining,$15-$30,none
Italian,Good Out of Town Business,Dining Outdoors,$30-$50,Traditional
Italian,Excellent Food,Weekend Brunch,$30-$50,Cab
French,Wheelchair Access,Private Parties,$15-$30,none
Italian,Great for People Watching,none,$30-$50,Cab
Mexican,Quirky,Weekend Jazz Brunch,below $15,none
American,Buffet Dining,Weekend Dining,$30-$50,High Tea
American,Good Service,Happy Hour,$15-$30,none
American,Place for Singles,Private Parties,$30-$50,Hamburgers
American,Good Service,Dining Outdoors,$15-$30,High Tea
Italian,Excellent Decor,Private Rooms Available,$15-$30,Pizzerias
French,Extraordinary Food,Takeout Available,$15-$30,High Tea
American,Up and Coming,Dancing,$30-$50,High Tea
American,Extraordinary Food,Open for Breakfast,$15-$30,Power Brokers
American,Romantic,Special Brunch Menu,$30-$50,Power Brokers
American,Extraordinary Service,Special Brunch Menu,$15-$30,Californian
French,Singles Scene,Great Place to Meet for a Drink,$30-$50,Power Brokers
Italian,Great for People Watching,Private Rooms Available,$30-$50,Cab
Italian,Good Out of Town Business,Open for Breakfast,$30-$50,Power Brokers
American,On the Beach,Dining Outdoors,$15-$30,Hamburgers
American,Parking/Valet,Weekend Brunch,$15-$30,none
