cuisine,atmosphere,occasion,price,style
Italian,Wheelchair Access,Open on Mondays,below $15,Traditional
Italian,An Historic Spot,Open on Sundays,below $15,Traditional
Italian,An Historic Spot,Takeout Available,below $15,Traditional
Italian,An Historic Spot,Fine for Dining Alone,below $15,Traditional
Italian,An Historic Spot,Open on Mondays,below $15,Traditional
Italian,Excellent Service,Open on Sundays,below $15,Traditional
Italian,Excellent Service,Takeout Available,below $15,Traditional
Italian,Excellent Service,Fine for Dining Alone,below $15,Traditional
Italian,Excellent Service,Open on Mondays,below $15,Traditional
Italian,Good Service,none,$15-$30,none
Italian,Good Food,none,$15-$30,none
Italian,Good Decor,none,$15-$30,none
American,Good Service,Open on Sundays,below $15,none
American,Good Service,Takeout Available,below $15,none
American,Good Service,Fine for Dining Alone,below $15,none
American,Good Service,Open on Mondays,below $15,none
American,Credit cards are not accepted,Open on Sundays,below $15,none
American,Credit cards are not accepted,Takeout Available,below $15,none
American,Credit cards are not accepted,Fine for Dining Alone,below $15,none
American,Credit cards are not accepted,Open on Mondays,below $15,none
American,Excellent Food,Open on Sundays,below $15,none
American,Excellent Food,Takeout Available,below $15,none
American,Excellent Food,Fine for Dining Alone,below $15,none
American,Excellent Food,Open on Mondays,below $15,none
American,Good Decor,Open on Sundays,below $15,none
American,Good Decor,Takeout Available,below $15,none
American,Good Decor,Fine for Dining Alone,below $15,none
American,Good Decor,Open on Mondays,below $15,none
American,No Reservations,Open on Sundays,below $15,none
American,No Reservations,Takeout Available,below $15,none
American,No Reservations,Fine for Dining Alone,below $15,none
American,No Reservations,Open on Mondays,below $15,none
Italian,Excellent Service,Open on Sundays,below $15,none
Italian,Excellent Service,Takeout Available,below $15,none
Italian,Excellent Service,Open on Mondays,below $15,none
Italian,Excellent Food,Open on Sundays,below $15,none
Italian,Excellent Food,Takeout Available,below $15,none
Italian,Excellent Food,Open on Mondays,below $15,none
Italian,Good Decor,Open on Sundays,below $15,none
Italian,Good Decor,Takeout Available,below $15,none
Italian,Good Decor,Open on Mondays,below $15,none
Italian,No Reservations,Open on Sundays,below $15,none
Italian,No Reservations,Takeout Available,below $15,none
Italian,No Reservations,Open on Mondays,below $15,none
American,Place for Singles,Open on Sundays,below $15,none
American,Place for Singles,Open on Mondays,below $15,none
American,No Reservations,Open on Sundays,below $15,none
American,No Reservations,Open on Mondays,below $15,none
American,Good Decor,Open on Sundays,below $15,none
American,Good Decor,Open on Mondays,below $15,none
American,Good Service,Open on Sundays,below $15,none
American,Good Service,Open on Mondays,below $15,none
American,For the Young and Young at Heart,Open on Sundays,below $15,none
American,For the Young and Young at Heart,Open on Mondays,below $15,none
American,Good Food,Open on Sundays,below $15,none
American,Good Food,Open on Mondays,below $15,none
American,Good for Younger Kids,Open on Sundays,below $15,none
American,Good for Younger Kids,Open on Mondays,below $15,none
Italian,Extraordinary Decor,Private Rooms Available,$15-$30,none
Italian,Extraordinary Decor,Open on Sundays,$15-$30,none
Italian,Extraordinary Decor,Special Brunch Menu,$15-$30,none
Italian,Extraordinary Decor,Open on Mondays,$15-$30,none
Italian,Romantic,Private Rooms Available,$15-$30,none
Italian,Romantic,Open on Sundays,$15-$30,none
Italian,Romantic,Special Brunch Menu,$15-$30,none
Italian,Romantic,Open on Mondays,$15-$30,none
Italian,Relaxed Senior Scene,Private Rooms Available,$15-$30,none
Italian,Relaxed Senior Scene,Open on Sundays,$15-$30,none
Italian,Relaxed Senior Scene,Special Brunch Menu,$15-$30,none
Italian,Relaxed Senior Scene,Open on Mondays,$15-$30,none
Italian,Extraordinary Food,Private Rooms Available,$15-$30,none
Italian,Extraordinary Food,Open on Sundays,$15-$30,none
Italian,Extraordinary Food,Special Brunch Menu,$15-$30,none
Italian,Extraordinary Food,Open on Mondays,$15-$30,none
Italian,Wheelchair Access,Private Rooms Available,$15-$30,none
Italian,Wheelchair Access,Open on Sundays,$15-$30,none
Italian,Wheelchair Access,Special Brunch Menu,$15-$30,none
Italian,Wheelchair Access,Open on Mondays,$15-$30,none
Italian,Extraordinary Service,Private Rooms Available,$15-$30,none
Italian,Extraordinary Service,Open on Sundays,$15-$30,none
Italian,Extraordinary Service,Special Brunch Menu,$15-$30,none
Italian,Extraordinary Service,Open on Mondays,$15-$30,none
Italian,Good Out of Town Business,Private Rooms Available,$15-$30,none
Italian,Good Out of Town Business,Open on Sundays,$15-$30,none
Italian,Good Out of Town Business,Special Brunch Menu,$15-$30,none
Italian,Good Out of Town Business,Open on Mondays,$15-$30,none
American,No Reservations,Open on Sundays,below $15,none
American,No Reservations,Takeout Available,below $15,none
American,No Reservations,Open on Mondays,below $15,none
American,Good Decor,Open on Sundays,below $15,none
American,Good Decor,Takeout Available,below $15,none
American,Good Decor,Open on Mondays,below $15,none
American,Credit cards are not accepted,Open on Sundays,below $15,none
American,Credit cards are not accepted,Takeout Available,below $15,none
American,Credit cards are not accepted,Open on Mondays,below $15,none
American,Excellent Food,Open on Sundays,below $15,none
American,Excellent Food,Takeout Available,below $15,none
American,Excellent Food,Open on Mondays,below $15,none
American,For the Young and Young at Heart,Open on Sundays,below $15,none
American,For the Young and Young at Heart,Takeout Available,below $15,none
American,For the Young and Young at Heart,Open on Mondays,below $15,none
American,Relaxed Senior Scene,Open on Sundays,below $15,none
American,Relaxed Senior Scene,Takeout Available,below $15,none
American,Relaxed Senior Scene,Open on Mondays,below $15,none
American,Good for Younger Kids,Open on Sundays,below $15,none
American,Good for Younger Kids,Takeout Available,below $15,none
American,Good for Younger Kids,Open on Mondays,below $15,none
American,Excellent Service,Open on Sundays,below $15,none
American,Excellent Service,Takeout Available,below $15,none
American,Excellent Service,Open on Mondays,below $15,none
French,Place for Singles,Private Parties,$15-$30,none
French,Place for Singles,Open on Sundays,$15-$30,none
French,Place for Singles,Takeout Available,$15-$30,none
French,Place for Singles,Open on Mondays,$15-$30,none
French,Good Decor,Private Parties,$15-$30,none
French,Good Decor,Open on Sundays,$15-$30,none
French,Good Decor,Takeout Available,$15-$30,none
French,Good Decor,Open on Mondays,$15-$30,none
French,For the Young and Young at Heart,Private Parties,$15-$30,none
French,For the Young and Young at Heart,Open on Sundays,$15-$30,none
French,For the Young and Young at Heart,Takeout Available,$15-$30,none
French,For the Young and Young at Heart,Open on Mondays,$15-$30,none
French,Extraordinary Food,Private Parties,$15-$30,none
French,Extraordinary Food,Open on Sundays,$15-$30,none
French,Extraordinary Food,Takeout Available,$15-$30,none
French,Extraordinary Food,Open on Mondays,$15-$30,none
French,Wheelchair Access,Private Parties,$15-$30,none
French,Wheelchair Access,Open on Sundays,$15-$30,none
French,Wheelchair Access,Takeout Available,$15-$30,none
French,Wheelchair Access,Open on Mondays,$15-$30,none
French,Up and Coming,Private Parties,$15-$30,none
French,Up and Coming,Open on Sundays,$15-$30,none
French,Up and Coming,Takeout Available,$15-$30,none
French,Up and Coming,Open on Mondays,$15-$30,none
French,Excellent Service,Private Parties,$15-$30,none
French,Excellent Service,Open on Sundays,$15-$30,none
French,Excellent Service,Takeout Available,$15-$30,none
French,Excellent Service,Open on Mondays,$15-$30,none
Italian,Good Decor,Private Parties,$15-$30,Traditional
Italian,Good Decor,Open on Sundays,$15-$30,Traditional
Italian,Good Decor,Takeout Available,$15-$30,Traditional
Italian,Good Decor,Open on Mondays,$15-$30,Traditional
Italian,For the Young and Young at Heart,Private Parties,$15-$30,Traditional
Italian,For the Young and Young at Heart,Open on Sundays,$15-$30,Traditional
Italian,For the Young and Young at Heart,Takeout Available,$15-$30,Traditional
Italian,For the Young and Young at Heart,Open on Mondays,$15-$30,Traditional
Italian,Extraordinary Food,Private Parties,$15-$30,Traditional
Italian,Extraordinary Food,Open on Sundays,$15-$30,Traditional
Italian,Extraordinary Food,Takeout Available,$15-$30,Traditional
Italian,Extraordinary Food,Open on Mondays,$15-$30,Traditional
Italian,Wheelchair Access,Private Parties,$15-$30,Traditional
Italian,Wheelchair Access,Open on Sundays,$15-$30,Traditional
Italian,Wheelchair Access,Takeout Available,$15-$30,Traditional
Italian,Wheelchair Access,Open on Mondays,$15-$30,Traditional
Italian,Up and Coming,Private Parties,$15-$30,Traditional
Italian,Up and Coming,Open on Sundays,$15-$30,Traditional
Italian,Up and Coming,Takeout Available,$15-$30,Traditional
Italian,Up and Coming,Open on Mondays,$15-$30,Traditional
Italian,Excellent Service,Private Parties,$15-$30,Traditional
Italian,Excellent Service,Open on Sundays,$15-$30,Traditional
Italian,Excellent Service,Takeout Available,$15-$30,Traditional
Italian,Excellent Service,Open on Mondays,$15-$30,Traditional
Mexican,Credit cards are not accepted,Open on Sundays,below $15,none
Mexican,Credit cards are not accepted,Open on Mondays,below $15,none
Mexican,Good Service,Open on Sundays,below $15,none
Mexican,Good Service,Open on Mondays,below $15,none
Mexican,For the Young and Young at Heart,Open on Sundays,below $15,none
Mexican,For the Young and Young at Heart,Open on Mondays,below $15,none
Mexican,Extraordinary Food,Open on Sundays,below $15,none
Mexican,Extraordinary Food,Open on Mondays,below $15,none
Mexican,Fair Decor,Open on Sundays,below $15,none
Mexican,Fair Decor,Open on Mondays,below $15,none
Mexican,Quirky,Open on Sundays,below $15,none
Mexican,Quirky,Open on Mondays,below $15,none
Mexican,Up and Coming,Open on Sundays,below $15,none
Mexican,Up and Coming,Open on Mondays,below $15,none
French,Need To Dress,Private Parties,$30-$50,none
French,Need To Dress,Open on Sundays,$30-$50,none
French,Need To Dress,Entertainment,$30-$50,none
French,Need To Dress,Open on Mondays,$30-$50,none
French,Romantic,Private Parties,$30-$50,none
French,Romantic,Open on Sundays,$30-$50,none
French,Romantic,Entertainment,$30-$50,none
French,Romantic,Open on Mondays,$30-$50,none
French,Fabulous Wine Lists,Private Parties,$30-$50,none
French,Fabulous Wine Lists,Open on Sundays,$30-$50,none
French,Fabulous Wine Lists,Entertainment,$30-$50,none
French,Fabulous Wine Lists,Open on Mondays,$30-$50,none
French,Very Busy - Reservations a Must,Private Parties,$30-$50,none
French,Very Busy - Reservations a Must,Open on Sundays,$30-$50,none
French,Very Busy - Reservations a Must,Entertainment,$30-$50,none
French,Very Busy - Reservations a Must,Open on Mondays,$30-$50,none
French,Classic Hotel Dining,Private Parties,$30-$50,none
French,Classic Hotel Dining,Open on Sundays,$30-$50,none
French,Classic Hotel Dining,Entertainment,$30-$50,none
French,Classic Hotel Dining,Open on Mondays,$30-$50,none
French,Wheelchair Access,Private Parties,$30-$50,none
French,Wheelchair Access,Open on Sundays,$30-$50,none
French,Wheelchair Access,Entertainment,$30-$50,none
French,Wheelchair Access,Open on Mondays,$30-$50,none
French,Extraordinary Food,Private Parties,$30-$50,none
French,Extraordinary Food,Open on Sundays,$30-$50,none
French,Extraordinary Food,Entertainment,$30-$50,none
French,Extraordinary Food,Open on Mondays,$30-$50,none
French,Near-perfect Decor,Private Parties,$30-$50,none
French,Near-perfect Decor,Open on Sundays,$30-$50,none
French,Near-perfect Decor,Entertainment,$30-$50,none
French,Near-perfect Decor,Open on Mondays,$30-$50,none
French,Extraordinary Service,Private Parties,$30-$50,none
French,Extraordinary Service,Open on Sundays,$30-$50,none
French,Extraordinary Service,Entertainment,$30-$50,none
French,Extraordinary Service,Open on Mondays,$30-$50,none
French,Good Out of Town Business,Private Parties,$30-$50,none
French,Good Out of Town Business,Open on Sundays,$30-$50,none
French,Good Out of Town Business,Entertainment,$30-$50,none
French,Good Out of Town Business,Open on Mondays,$30-$50,none
American,Place for Singles,Open for Breakfast,below $15,none
American,Place for Singles,Open on Sundays,below $15,none
American,Place for Singles,Takeout Available,below $15,none
American,Place for Singles,Dining Outdoors,below $15,none
American,Place for Singles,Open on Mondays,below $15,none
American,No Reservations,Open for Breakfast,below $15,none
American,No Reservations,Open on Sundays,below $15,none
American,No Reservations,Takeout Available,below $15,none
American,No Reservations,Dining Outdoors,below $15,none
American,No Reservations,Open on Mondays,below $15,none
American,Excellent Decor,Open for Breakfast,below $15,none
American,Excellent Decor,Open on Sundays,below $15,none
American,Excellent Decor,Takeout Available,below $15,none
American,Excellent Decor,Dining Outdoors,below $15,none
American,Excellent Decor,Open on Mondays,below $15,none
American,Good Service,Open for Breakfast,below $15,none
American,Good Service,Open on Sundays,below $15,none
American,Good Service,Takeout Available,below $15,none
American,Good Service,Dining Outdoors,below $15,none
American,Good Service,Open on Mondays,below $15,none
American,For the Young and Young at Heart,Open for Breakfast,below $15,none
American,For the Young and Young at Heart,Open on Sundays,below $15,none
American,For the Young and Young at Heart,Takeout Available,below $15,none
American,For the Young and Young at Heart,Dining Outdoors,below $15,none
American,For the Young and Young at Heart,Open on Mondays,below $15,none
American,Good Food,Open for Breakfast,below $15,none
American,Good Food,Open on Sundays,below $15,none
American,Good Food,Takeout Available,below $15,none
American,Good Food,Dining Outdoors,below $15,none
American,Good Food,Open on Mondays,below $15,none
American,Good for Younger Kids,Open for Breakfast,below $15,none
American,Good for Younger Kids,Open on Sundays,below $15,none
American,Good for Younger Kids,Takeout Available,below $15,none
American,Good for Younger Kids,Dining Outdoors,below $15,none
American,Good for Younger Kids,Open on Mondays,below $15,none
American,An Historic Spot,Open on Sundays,below $15,none
American,An Historic Spot,Special Brunch Menu,below $15,none
American,An Historic Spot,Open on Mondays,below $15,none
American,Good Service,Open on Sundays,below $15,none
American,Good Service,Special Brunch Menu,below $15,none
American,Good Service,Open on Mondays,below $15,none
American,Good Food,Open on Sundays,below $15,none
American,Good Food,Special Brunch Menu,below $15,none
American,Good Food,Open on Mondays,below $15,none
American,Good Decor,Open on Sundays,below $15,none
American,Good Decor,Special Brunch Menu,below $15,none
American,Good Decor,Open on Mondays,below $15,none
American,No Reservations,Open on Sundays,below $15,none
American,No Reservations,Special Brunch Menu,below $15,none
American,No Reservations,Open on Mondays,below $15,none
Italian,Good Decor,Private Rooms Available,$15-$30,none
Italian,Good Decor,Open on Sundays,$15-$30,none
Italian,Good Decor,Open on Mondays,$15-$30,none
Italian,Excellent Food,Private Rooms Available,$15-$30,none
Italian,Excellent Food,Open on Sundays,$15-$30,none
Italian,Excellent Food,Open on Mondays,$15-$30,none
Italian,Relaxed Senior Scene,Private Rooms Available,$15-$30,none
Italian,Relaxed Senior Scene,Open on Sundays,$15-$30,none
Italian,Relaxed Senior Scene,Open on Mondays,$15-$30,none
Italian,Wheelchair Access,Private Rooms Available,$15-$30,none
Italian,Wheelchair Access,Open on Sundays,$15-$30,none
Italian,Wheelchair Access,Open on Mondays,$15-$30,none
Italian,Up and Coming,Private Rooms Available,$15-$30,none
Italian,Up and Coming,Open on Sundays,$15-$30,none
Italian,Up and Coming,Open on Mondays,$15-$30,none
Italian,Excellent Service,Private Rooms Available,$15-$30,none
Italian,Excellent Service,Open on Sundays,$15-$30,none
Italian,Excellent Service,Open on Mondays,$15-$30,none
American,No Reservations,Private Parties,below $15,Traditional
American,No Reservations,Open on Sundays,below $15,Traditional
American,No Reservations,Takeout Available,below $15,Traditional
American,No Reservations,Special Brunch Menu,below $15,Traditional
American,No Reservations,Open on Mondays,below $15,Traditional
American,Good Decor,Private Parties,below $15,Traditional
American,Good Decor,Open on Sundays,below $15,Traditional
American,Good Decor,Takeout Available,below $15,Traditional
American,Good Decor,Special Brunch Menu,below $15,Traditional
American,Good Decor,Open on Mondays,below $15,Traditional
American,Excellent Food,Private Parties,below $15,Traditional
American,Excellent Food,Open on Sundays,below $15,Traditional
American,Excellent Food,Takeout Available,below $15,Traditional
American,Excellent Food,Special Brunch Menu,below $15,Traditional
American,Excellent Food,Open on Mondays,below $15,Traditional
American,For the Young and Young at Heart,Private Parties,below $15,Traditional
American,For the Young and Young at Heart,Open on Sundays,below $15,Traditional
American,For the Young and Young at Heart,Takeout Available,below $15,Traditional
American,For the Young and Young at Heart,Special Brunch Menu,below $15,Traditional
American,For the Young and Young at Heart,Open on Mondays,below $15,Traditional
American,Wheelchair Access,Private Parties,below $15,Traditional
American,Wheelchair Access,Open on Sundays,below $15,Traditional
American,Wheelchair Access,Takeout Available,below $15,Traditional
American,Wheelchair Access,Special Brunch Menu,below $15,Traditional
American,Wheelchair Access,Open on Mondays,below $15,Traditional
American,Good for Younger Kids,Private Parties,below $15,Traditional
American,Good for Younger Kids,Open on Sundays,below $15,Traditional
American,Good for Younger Kids,Takeout Available,below $15,Traditional
American,Good for Younger Kids,Special Brunch Menu,below $15,Traditional
American,Good for Younger Kids,Open on Mondays,below $15,Traditional
American,Excellent Service,Private Parties,below $15,Traditional
American,Excellent Service,Open on Sundays,below $15,Traditional
American,Excellent Service,Takeout Available,below $15,Traditional
American,Excellent Service,Special Brunch Menu,below $15,Traditional
American,Excellent Service,Open on Mondays,below $15,Traditional
American,No Reservations,Open on Sundays,below $15,Po' Boys
American,No Reservations,Takeout Available,below $15,Po' Boys
American,No Reservations,Other Quick Food,below $15,Po' Boys
American,No Reservations,Late Night Menu,below $15,Po' Boys
American,No Reservations,Open for Breakfast,below $15,Po' Boys
American,No Reservations,Open on Mondays,below $15,Po' Boys
American,Poor Decor,Open on Sundays,below $15,Po' Boys
American,Poor Decor,Takeout Available,below $15,Po' Boys
American,Poor Decor,Other Quick Food,below $15,Po' Boys
American,Poor Decor,Late Night Menu,below $15,Po' Boys
American,Poor Decor,Open for Breakfast,below $15,Po' Boys
American,Poor Decor,Open on Mondays,below $15,Po' Boys
American,Good Service,Open on Sundays,below $15,Po' Boys
American,Good Service,Takeout Available,below $15,Po' Boys
American,Good Service,Other Quick Food,below $15,Po' Boys
American,Good Service,Late Night Menu,below $15,Po' Boys
American,Good Service,Open for Breakfast,below $15,Po' Boys
American,Good Service,Open on Mondays,below $15,Po' Boys
American,Good Food,Open on Sundays,below $15,Po' Boys
American,Good Food,Takeout Available,below $15,Po' Boys
American,Good Food,Other Quick Food,below $15,Po' Boys
American,Good Food,Late Night Menu,below $15,Po' Boys
American,Good Food,Open for Breakfast,below $15,Po' Boys
American,Good Food,Open on Mondays,below $15,Po' Boys
American,Wheelchair Access,Open on Sundays,below $15,Po' Boys
American,Wheelchair Access,Takeout Available,below $15,Po' Boys
American,Wheelchair Access,Other Quick Food,below $15,Po' Boys
American,Wheelchair Access,Late Night Menu,below $15,Po' Boys
American,Wheelchair Access,Open for Breakfast,below $15,Po' Boys
American,Wheelchair Access,Open on Mondays,below $15,Po' Boys
American,Quirky,Open on Sundays,below $15,Po' Boys
American,Quirky,Takeout Available,below $15,Po' Boys
American,Quirky,Other Quick Food,below $15,Po' Boys
American,Quirky,Late Night Menu,below $15,Po' Boys
American,Quirky,Open for Breakfast,below $15,Po' Boys
American,Quirky,Open on Mondays,below $15,Po' Boys
Italian,Excellent Decor,Private Rooms Available,$15-$30,none
Italian,Excellent Decor,Open on Sundays,$15-$30,none
Italian,Excellent Decor,Open on Mondays,$15-$30,none
Italian,Place for Singles,Private Rooms Available,$15-$30,none
Italian,Place for Singles,Open on Sundays,$15-$30,none
Italian,Place for Singles,Open on Mondays,$15-$30,none
Italian,Excellent Service,Private Rooms Available,$15-$30,none
Italian,Excellent Service,Open on Sundays,$15-$30,none
Italian,Excellent Service,Open on Mondays,$15-$30,none
Italian,Up and Coming,Private Rooms Available,$15-$30,none
Italian,Up and Coming,Open on Sundays,$15-$30,none
Italian,Up and Coming,Open on Mondays,$15-$30,none
Italian,Excellent Food,Private Rooms Available,$15-$30,none
Italian,Excellent Food,Open on Sundays,$15-$30,none
Italian,Excellent Food,Open on Mondays,$15-$30,none
