"s1","s2"
"cuisine=Hungarian","price=$30-$50"
"cuisine=Vegetarian","price=$30-$50"
"cuisine=Czech","price=$30-$50"
"cuisine=Dim Sum","price=below $15"
"cuisine=Hamburgers & Beer","price=over $50"
"cuisine=Polish","price=below $15"
"cuisine=Peruvian","price=$15-$30"
"cuisine=Jewish","price=below $15"
"cuisine=Spanish","price=below $15"
"cuisine=Indonesian","price=$30-$50"
"cuisine=Vegetarian","price=below $15"
"cuisine=Indian","price=below $15"
"cuisine=Mediterranean","price=below $15"
"cuisine=Thai","price=below $15"
"cuisine=Creole","price=below $15"
"cuisine=German","price=below $15"
"cuisine=Caribbean","price=below $15"
"cuisine=African","price=below $15"
"cuisine=Pacific Rim","price=$15-$30"
"cuisine=Romanian","price=$15-$30"
"cuisine=African","price=$30-$50"
"cuisine=Korean","price=below $15"
"cuisine=Fountain and Ice Cream","price=$15-$30"
"cuisine=Wine and Beer","price=$15-$30"
"cuisine=Wine and Beer","price=below $15"
"cuisine=Belgian","price=below $15"
"cuisine=Pacific New Wave","price=$15-$30"
"cuisine=Peruvian","price=below $15"
"cuisine=Pacific New Wave","price=$30-$50"
"cuisine=Asian","price=$15-$30"
"cuisine=Hot Dogs","price=below $15"
"cuisine=Fountain and Ice Cream","price=$30-$50"
"cuisine=Wine and Beer","price=$30-$50"
"cuisine=Japanese","price=over $50"
"cuisine=Fountain and Ice Cream","price=over $50"
"cuisine=Wine and Beer","price=over $50"
"cuisine=Cambodian","price=below $15"
"cuisine=Argentinean","price=below $15"
"cuisine=Filipino","price=below $15"
"cuisine=Tunisian","price=$15-$30"
"cuisine=Polynesian","price=$30-$50"
"cuisine=Dim Sum","price=$30-$50"
"cuisine=Indonesian","price=below $15"
"cuisine=Cambodian","price=$15-$30"
"cuisine=Austrian","price=$15-$30"
"cuisine=Egyptian","price=$15-$30"
"cuisine=Moroccan","price=$30-$50"
"cuisine=African","price=$15-$30"
"cuisine=Tapas","price=$30-$50"
"cuisine=Salvadoran","price=below $15"
"cuisine=Sushi","price=$15-$30"
"cuisine=Latin","price=below $15"
"cuisine=Tapas","price=$15-$30"
"cuisine=Latin","price=$15-$30"
"cuisine=Portuguese","price=$15-$30"
"cuisine=Turkish","price=below $15"
"cuisine=Irish","price=below $15"
"cuisine=Brazilian","price=below $15"
"cuisine=Lebanese","price=below $15"
"cuisine=Russian","price=below $15"
"cuisine=Armenian","price=below $15"
"cuisine=Portuguese","price=below $15"
"cuisine=Polynesian","price=below $15"
"cuisine=Roumanian","price=$15-$30"
"cuisine=Scandinavian","price=$15-$30"
"cuisine=Tapas","price=below $15"
"cuisine=Asian","price=below $15"
"cuisine=Ethiopian","price=below $15"
"cuisine=Persian","price=below $15"
"cuisine=Puerto Rican","price=$15-$30"
"cuisine=Ukranian","price=$15-$30"
"cuisine=Guatemalan","price=below $15"
"cuisine=Czech","price=below $15"
"cuisine=Asian","price=$30-$50"
"cuisine=Moroccan","price=below $15"
"cuisine=Polynesian","price=$15-$30"
"cuisine=Asian","price=over $50"
